sample_name,source_name,Strain,sex,age
DGRP_Line_335_Female_SAMN22426842,DGRP Line 335 Female,DGRP_335,female,adult
DGRP_Line_335_Male_SAMN22426843,DGRP Line 335 Male,DGRP_335,male,adult
DGRP_Line_335_Male_SAMN22426844,DGRP Line 335 Male,DGRP_335,male,adult
DGRP_Line_340_Female_SAMN22426846,DGRP Line 340 Female,DGRP_340,female,adult
DGRP_Line_340_Female_SAMN22426847,DGRP Line 340 Female,DGRP_340,female,adult
DGRP_Line_340_Male_SAMN22426849,DGRP Line 340 Male,DGRP_340,male,adult
DGRP_Line_340_Male_SAMN22426851,DGRP Line 340 Male,DGRP_340,male,adult
DGRP_Line_355_Female_SAMN22426852,DGRP Line 355 Female,DGRP_355,female,adult
DGRP_Line_355_Female_SAMN22426853,DGRP Line 355 Female,DGRP_355,female,adult
DGRP_Line_355_Male_SAMN22426854,DGRP Line 355 Male,DGRP_355,male,adult
DGRP_Line_355_Male_SAMN22426855,DGRP Line 355 Male,DGRP_355,male,adult
DGRP_Line_358_Female_SAMN22426856,DGRP Line 358 Female,DGRP_358,female,adult
DGRP_Line_358_Female_SAMN22426857,DGRP Line 358 Female,DGRP_358,female,adult
DGRP_Line_358_Male_SAMN22426865,DGRP Line 358 Male,DGRP_358,male,adult
DGRP_Line_358_Male_SAMN22426858,DGRP Line 358 Male,DGRP_358,male,adult
DGRP_Line_360_Female_SAMN22426859,DGRP Line 360 Female,DGRP_360,female,adult
DGRP_Line_360_Female_SAMN22426860,DGRP Line 360 Female,DGRP_360,female,adult
DGRP_Line_360_Male_SAMN22426861,DGRP Line 360 Male,DGRP_360,male,adult
DGRP_Line_360_Male_SAMN22426862,DGRP Line 360 Male,DGRP_360,male,adult
DGRP_Line_362_Female_SAMN22426863,DGRP Line 362 Female,DGRP_362,female,adult
DGRP_Line_362_Female_SAMN22426864,DGRP Line 362 Female,DGRP_362,female,adult
DGRP_Line_362_Male_SAMN22426866,DGRP Line 362 Male,DGRP_362,male,adult
DGRP_Line_362_Male_SAMN22426867,DGRP Line 362 Male,DGRP_362,male,adult
DGRP_Line_365_Female_SAMN22426868,DGRP Line 365 Female,DGRP_365,female,adult
DGRP_Line_365_Female_SAMN22426869,DGRP Line 365 Female,DGRP_365,female,adult
DGRP_Line_365_Male_SAMN22426870,DGRP Line 365 Male,DGRP_365,male,adult
DGRP_Line_365_Male_SAMN22426871,DGRP Line 365 Male,DGRP_365,male,adult
DGRP_Line_367_Female_SAMN22426872,DGRP Line 367 Female,DGRP_367,female,adult
DGRP_Line_367_Female_SAMN22426873,DGRP Line 367 Female,DGRP_367,female,adult
DGRP_Line_367_Male_SAMN22426874,DGRP Line 367 Male,DGRP_367,male,adult
DGRP_Line_367_Male_SAMN22426875,DGRP Line 367 Male,DGRP_367,male,adult
DGRP_Line_370_Female_SAMN22426876,DGRP Line 370 Female,DGRP_370,female,adult
DGRP_Line_370_Female_SAMN22426877,DGRP Line 370 Female,DGRP_370,female,adult
DGRP_Line_370_Male_SAMN22426878,DGRP Line 370 Male,DGRP_370,male,adult
DGRP_Line_370_Male_SAMN22426879,DGRP Line 370 Male,DGRP_370,male,adult
DGRP_Line_371_Female_SAMN22426880,DGRP Line 371 Female,DGRP_371,female,adult
DGRP_Line_371_Female_SAMN22426881,DGRP Line 371 Female,DGRP_371,female,adult
DGRP_Line_371_Male_SAMN22426882,DGRP Line 371 Male,DGRP_371,male,adult
DGRP_Line_371_Male_SAMN22426883,DGRP Line 371 Male,DGRP_371,male,adult
DGRP_Line_374_Female_SAMN22426884,DGRP Line 374 Female,DGRP_374,female,adult
DGRP_Line_374_Female_SAMN22426885,DGRP Line 374 Female,DGRP_374,female,adult
DGRP_Line_374_Male_SAMN22426886,DGRP Line 374 Male,DGRP_374,male,adult
DGRP_Line_374_Male_SAMN22426887,DGRP Line 374 Male,DGRP_374,male,adult
DGRP_Line_375_Female_SAMN22426888,DGRP Line 375 Female,DGRP_375,female,adult
DGRP_Line_375_Female_SAMN22426889,DGRP Line 375 Female,DGRP_375,female,adult
DGRP_Line_375_Male_SAMN22426890,DGRP Line 375 Male,DGRP_375,male,adult
DGRP_Line_375_Male_SAMN22426891,DGRP Line 375 Male,DGRP_375,male,adult
DGRP_Line_379_Female_SAMN22426892,DGRP Line 379 Female,DGRP_379,female,adult
DGRP_Line_379_Female_SAMN22426893,DGRP Line 379 Female,DGRP_379,female,adult
DGRP_Line_379_Male_SAMN22426894,DGRP Line 379 Male,DGRP_379,male,adult
DGRP_Line_379_Male_SAMN22427216,DGRP Line 379 Male,DGRP_379,male,adult
DGRP_Line_380_Female_SAMN22427217,DGRP Line 380 Female,DGRP_380,female,adult
DGRP_Line_380_Female_SAMN22427218,DGRP Line 380 Female,DGRP_380,female,adult
DGRP_Line_380_Male_SAMN22427219,DGRP Line 380 Male,DGRP_380,male,adult
DGRP_Line_380_Male_SAMN22427220,DGRP Line 380 Male,DGRP_380,male,adult
DGRP_Line_382_Female_SAMN22427221,DGRP Line 382 Female,DGRP_382,female,adult
